epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,964.629,0.45942,0.39445,0.94938,0.88847,0.43105,0.5003,0.3895,0.82464,0.5203,1.01187,0.000416365,0.000416365,0.000416365
70,1386.46,0.53075,0.42562,0.96651,0.88661,0.55798,0.6202,0.48465,0.7747,0.52961,0.9746,0.000401474,0.000401474,0.000401474
71,1823.04,0.58194,0.45933,1.00885,0.86613,0.49355,0.56808,0.44846,0.79654,0.52863,0.98699,0.000386582,0.000386582,0.000386582
72,2311.72,0.73869,0.5676,1.07594,0.90917,0.63256,0.67447,0.56135,0.72704,0.50256,0.97802,0.00037169,0.00037169,0.00037169
73,2838.37,0.83745,0.67131,1.14392,0.87313,0.60781,0.65048,0.52484,0.75223,0.5151,0.99598,0.000356799,0.000356799,0.000356799
74,569.195,0.421,0.40638,0.9413,0.63675,0.11591,0.19918,0.15075,0.7348,0.5031,0.98791,0.000341907,0.000341907,0.000341907
75,960.286,0.40453,0.36911,0.93589,0.92581,0.4775,0.57245,0.46249,0.79078,0.50548,1.00042,0.000327015,0.000327015,0.000327015
76,1305.72,0.47842,0.3951,0.94982,0.87234,0.65259,0.69025,0.54396,0.77508,0.4983,1.00004,0.000312124,0.000312124,0.000312124
77,1666.06,0.53202,0.42455,0.98468,0.92339,0.59334,0.64939,0.51416,0.79091,0.50164,0.99802,0.000297232,0.000297232,0.000297232
78,2056.09,0.66106,0.49407,1.04269,0.90876,0.56854,0.61746,0.49857,0.74562,0.49614,0.99528,0.00028234,0.00028234,0.00028234
79,569.141,0.385,0.36442,0.92332,0.79491,0.13188,0.22441,0.17731,0.71845,0.50705,0.9818,0.000267449,0.000267449,0.000267449
80,980.716,0.39051,0.34674,0.92679,0.86971,0.48305,0.54412,0.43307,0.7668,0.50615,0.99737,0.000252557,0.000252557,0.000252557
